Gene1_ID	Gene2_ID	Gene1_Symbol	Gene2_Symbol	G1>G2_mut	G1>G2_wild	fisher_pvalue
51691	1364	LSM8	CLDN4	31	219	6.02413160980277e-05
56649	80344	TMPRSS4	DCAF11	31	219	6.02413160980277e-05
440193	563	CCDC88C	AZGP1	31	219	6.02413160980277e-05
6359	563	CCL15	AZGP1	31	217	6.0772016051228e-05
6598	1376	SMARCB1	CPT2	31	217	6.0772016051228e-05
7690	78991	ZNF131	PCYOX1L	31	217	6.0772016051228e-05
8170	563	SLC14A2	AZGP1	31	217	6.0772016051228e-05
9569	10240	GTF2IRD1	MRPS31	31	217	6.0772016051228e-05
22852	534	ANKRD26	ATP6V1G2	31	217	6.0772016051228e-05
50507	6010	NOX4	RHO	31	217	6.0772016051228e-05
112399	22891	EGLN3	ZNF365	31	217	6.0772016051228e-05
407	563	ARR3	AZGP1	31	220	6.20130066516696e-05
2742	563	GLRA2	AZGP1	31	220	6.20130066516696e-05
3157	6441	HMGCS1	SFTPD	31	220	6.20130066516696e-05
3291	3846	HSD11B2	KRTAP5-9	31	220	6.20130066516696e-05
3631	563	INPP4A	AZGP1	31	220	6.20130066516696e-05
4217	221092	MAP3K5	HNRNPUL2	31	220	6.20130066516696e-05
4851	1949	NOTCH1	EFNB3	31	220	6.20130066516696e-05
5125	80705	PCSK5	TSGA10	31	220	6.20130066516696e-05
64174	563	DPEP2	AZGP1	31	220	6.20130066516696e-05
414	563	ARSD	AZGP1	31	221	6.51169137936778e-05
1054	1371	CEBPG	CPOX	31	221	6.51169137936778e-05
1137	554	CHRNA4	AVPR2	31	221	6.51169137936778e-05
1609	57863	DGKQ	CADM3	31	221	6.51169137936778e-05
2113	563	ETS1	AZGP1	31	221	6.51169137936778e-05
2702	563	GJA5	AZGP1	31	221	6.51169137936778e-05
3026	1464	HABP2	CSPG4	31	221	6.51169137936778e-05
23221	563	RHOBTB2	AZGP1	31	221	6.51169137936778e-05
25825	8574	BACE2	AKR7A2	31	221	6.51169137936778e-05
57604	563	TRMT9B	AZGP1	31	221	6.51169137936778e-05
64417	10005	TMEM267	ACOT8	31	221	6.51169137936778e-05
114791	563	TUBGCP5	AZGP1	31	221	6.51169137936778e-05
1404	1464	HAPLN1	CSPG4	31	223	0.000117796550708608
2074	1395	ERCC6	CRHR2	31	223	0.000117796550708608
3791	57165	KDR	GJC2	31	223	0.000117796550708608
5797	22907	PTPRM	DHX30	31	223	0.000117796550708608
6285	2220	S100B	FCN2	31	223	0.000117796550708608
6898	563	TAT	AZGP1	31	223	0.000117796550708608
8832	563	CD84	AZGP1	31	223	0.000117796550708608
8916	563	HERC3	AZGP1	31	223	0.000117796550708608
55656	9131	INTS8	AIFM1	31	223	0.000117796550708608
1084	563	CEACAM3	AZGP1	31	224	0.000118086362376519
2107	523	ETF1	ATP6V1A	31	224	0.000118086362376519
2797	563	GNRH2	AZGP1	31	224	0.000118086362376519
3026	162972	HABP2	ZNF550	31	224	0.000118086362376519
3291	407	HSD11B2	ARR3	31	224	0.000118086362376519
5076	563	PAX2	AZGP1	31	224	0.000118086362376519
6329	563	SCN4A	AZGP1	31	224	0.000118086362376519
9021	563	SOCS3	AZGP1	31	224	0.000118086362376519
10590	563	SCGN	AZGP1	31	224	0.000118086362376519
11155	563	LDB3	AZGP1	31	224	0.000118086362376519
11330	563	CTRC	AZGP1	31	224	0.000118086362376519
26476	563	OR10J1	AZGP1	31	224	0.000118086362376519
26973	1725	CHORDC1	DHPS	31	224	0.000118086362376519
50507	54475	NOX4	NLE1	31	224	0.000118086362376519
56474	6441	CTPS2	SFTPD	31	224	0.000118086362376519
57862	5432	ZNF410	POLR2C	31	224	0.000118086362376519
383	9942	ARG1	XYLB	31	222	0.000120150118802587
383	84779	ARG1	NAA11	31	222	0.000120150118802587
570	3131	BAAT	HLF	31	222	0.000120150118802587
2764	10053	GMFB	AP1M2	31	222	0.000120150118802587
3795	563	KHK	AZGP1	31	222	0.000120150118802587
5199	563	CFP	AZGP1	31	222	0.000120150118802587
6274	3596	S100A3	IL13	31	222	0.000120150118802587
7480	563	WNT10B	AZGP1	31	222	0.000120150118802587
7580	54955	ZNF32	C1orf109	31	222	0.000120150118802587
26071	51295	RTL8A	ECSIT	31	222	0.000120150118802587
29802	563	VPREB3	AZGP1	31	222	0.000120150118802587
50507	269	NOX4	AMHR2	31	222	0.000120150118802587
50507	3670	NOX4	ISL1	31	222	0.000120150118802587
50507	26577	NOX4	PCOLCE2	31	222	0.000120150118802587
50507	51286	NOX4	CEND1	31	222	0.000120150118802587
56937	6483	PMEPA1	ST3GAL2	31	222	0.000120150118802587
113146	11083	AHNAK2	DIDO1	31	222	0.000120150118802587
146754	563	DNAH2	AZGP1	31	222	0.000120150118802587
376267	79006	RAB15	METRN	31	222	0.000120150118802587
3364	55286	HUS1	C4orf19	31	225	0.000120941055879128
5366	51176	PMAIP1	LEF1	31	225	0.000120941055879128
5990	563	RFX2	AZGP1	31	225	0.000120941055879128
6892	10101	TAPBP	NUBP2	31	225	0.000120941055879128
7083	51619	TK1	UBE2D4	31	225	0.000120941055879128
7694	563	ZNF135	AZGP1	31	225	0.000120941055879128
8178	3768	ELL	KCNJ12	31	225	0.000120941055879128
8605	563	PLA2G4C	AZGP1	31	225	0.000120941055879128
8987	54925	STBD1	ZSCAN32	31	225	0.000120941055879128
9780	64129	PIEZO1	TINAGL1	31	225	0.000120941055879128
10206	78991	TRIM13	PCYOX1L	31	225	0.000120941055879128
10512	60681	SEMA3C	FKBP10	31	225	0.000120941055879128
11238	1271	CA5B	CNTFR	31	225	0.000120941055879128
22837	563	COBLL1	AZGP1	31	225	0.000120941055879128
23548	55286	TTC33	C4orf19	31	225	0.000120941055879128
26973	4240	CHORDC1	MFGE8	31	225	0.000120941055879128
1382	5213	CRABP2	PFKM	31	226	0.000126325553216279
2247	563	FGF2	AZGP1	31	226	0.000126325553216279
2488	563	FSHB	AZGP1	31	226	0.000126325553216279
2919	51299	CXCL1	NRN1	31	226	0.000126325553216279
4050	79132	LTB	DHX58	31	226	0.000126325553216279
5634	5104	PRPS2	SERPINA5	31	226	0.000126325553216279
6795	563	AURKC	AZGP1	31	226	0.000126325553216279
7357	2976	UGCG	GTF3C2	31	226	0.000126325553216279
7479	563	WNT8B	AZGP1	31	226	0.000126325553216279
9780	7067	PIEZO1	THRA	31	226	0.000126325553216279
9780	27240	PIEZO1	SIT1	31	226	0.000126325553216279
10347	563	ABCA7	AZGP1	31	226	0.000126325553216279
11016	563	ATF7	AZGP1	31	226	0.000126325553216279
11329	5715	STK38	PSMD9	31	226	0.000126325553216279
27158	563	NDOR1	AZGP1	31	226	0.000126325553216279
29954	1606	POMT2	DGKA	31	226	0.000126325553216279
50507	56344	NOX4	CABP5	31	226	0.000126325553216279
56937	56124	PMEPA1	PCDHB12	31	226	0.000126325553216279
58513	64221	EPS15L1	ROBO3	31	226	0.000126325553216279
755	563	CFAP410	AZGP1	31	229	0.000226116573276894
1445	283537	CSK	SLC46A3	31	229	0.000226116573276894
1609	1837	DGKQ	DTNA	31	229	0.000226116573276894
1846	4435	DUSP4	CITED1	31	229	0.000226116573276894
1846	8492	DUSP4	PRSS12	31	229	0.000226116573276894
3291	23017	HSD11B2	FAIM2	31	229	0.000226116573276894
4018	5897	LPA	RAG2	31	229	0.000226116573276894
5071	3363	PRKN	HTR7	31	229	0.000226116573276894
5408	563	PNLIPRP2	AZGP1	31	229	0.000226116573276894
5799	10881	PTPRN2	ACTL7A	31	229	0.000226116573276894
6511	57863	SLC1A6	CADM3	31	229	0.000226116573276894
6532	563	SLC6A4	AZGP1	31	229	0.000226116573276894
8787	174	RGS9	AFP	31	229	0.000226116573276894
8942	563	KYNU	AZGP1	31	229	0.000226116573276894
9780	324	PIEZO1	APC	31	229	0.000226116573276894
10154	563	PLXNC1	AZGP1	31	229	0.000226116573276894
26002	6291	MOXD1	SAA4	31	229	0.000226116573276894
27035	563	NOX1	AZGP1	31	229	0.000226116573276894
29760	3764	BLNK	KCNJ8	31	229	0.000226116573276894
50507	4435	NOX4	CITED1	31	229	0.000226116573276894
50507	60676	NOX4	PAPPA2	31	229	0.000226116573276894
50509	563	COL5A3	AZGP1	31	229	0.000226116573276894
51298	563	THEG	AZGP1	31	229	0.000226116573276894
51379	831	CRLF3	CAST	31	229	0.000226116573276894
54463	563	RETREG1	AZGP1	31	229	0.000226116573276894
56649	4913	TMPRSS4	NTHL1	31	229	0.000226116573276894
56649	51362	TMPRSS4	CDC40	31	229	0.000226116573276894
59336	563	PRDM13	AZGP1	31	229	0.000226116573276894
64324	55072	NSD1	RNF31	31	229	0.000226116573276894
79955	563	PDZD7	AZGP1	31	229	0.000226116573276894
90993	3452	CREB3L1	IFNA21	31	229	0.000226116573276894
390892	563	OR7A10	AZGP1	31	229	0.000226116573276894
313	563	AOAH	AZGP1	31	228	0.000226124578007643
1007	1464	CDH9	CSPG4	31	228	0.000226124578007643
2530	5983	FUT8	RFC3	31	228	0.000226124578007643
2885	5104	GRB2	SERPINA5	31	228	0.000226124578007643
2885	9975	GRB2	NR1D2	31	228	0.000226124578007643
3006	30	H1-2	ACAA1	31	228	0.000226124578007643
4249	563	MGAT5	AZGP1	31	228	0.000226124578007643
4842	563	NOS1	AZGP1	31	228	0.000226124578007643
5140	563	PDE3B	AZGP1	31	228	0.000226124578007643
7204	51087	TRIO	YBX2	31	228	0.000226124578007643
9148	563	NEURL1	AZGP1	31	228	0.000226124578007643
9573	23519	GDF3	ANP32D	31	228	0.000226124578007643
9780	1339	PIEZO1	COX6A2	31	228	0.000226124578007643
9887	10290	SMG7	SPEG	31	228	0.000226124578007643
10276	5104	NET1	SERPINA5	31	228	0.000226124578007643
10605	10257	PAIP1	ABCC4	31	228	0.000226124578007643
10723	5104	SLC12A7	SERPINA5	31	228	0.000226124578007643
22880	4286	MORC2	MITF	31	228	0.000226124578007643
23746	563	AIPL1	AZGP1	31	228	0.000226124578007643
27030	51129	MLH3	ANGPTL4	31	228	0.000226124578007643
50507	6585	NOX4	SLIT1	31	228	0.000226124578007643
54345	5027	SOX18	P2RX7	31	228	0.000226124578007643
56937	10098	PMEPA1	TSPAN5	31	228	0.000226124578007643
58513	10290	EPS15L1	SPEG	31	228	0.000226124578007643
79573	55062	TTC13	WIPI1	31	228	0.000226124578007643
387535	563	NA	AZGP1	31	228	0.000226124578007643
2530	5104	FUT8	SERPINA5	31	230	0.000230869547201515
2869	563	GRK5	AZGP1	31	230	0.000230869547201515
2912	563	GRM2	AZGP1	31	230	0.000230869547201515
3543	563	IGLL1	AZGP1	31	230	0.000230869547201515
5362	30813	PLXNA2	VSX1	31	230	0.000230869547201515
5366	2948	PMAIP1	GSTM4	31	230	0.000230869547201515
5817	563	PVR	AZGP1	31	230	0.000230869547201515
5973	563	RENBP	AZGP1	31	230	0.000230869547201515
6035	4236	RNASE1	MFAP1	31	230	0.000230869547201515
6573	563	SLC19A1	AZGP1	31	230	0.000230869547201515
6598	58986	SMARCB1	PGAP6	31	230	0.000230869547201515
6690	434	SPINK1	ASIP	31	230	0.000230869547201515
9439	55857	MED23	KIZ	31	230	0.000230869547201515
9644	563	SH3PXD2A	AZGP1	31	230	0.000230869547201515
9780	55223	PIEZO1	TRIM62	31	230	0.000230869547201515
10245	1371	TIMM17B	CPOX	31	230	0.000230869547201515
22849	534	CPEB3	ATP6V1G2	31	230	0.000230869547201515
23169	563	SLC35D1	AZGP1	31	230	0.000230869547201515
23705	5104	CADM1	SERPINA5	31	230	0.000230869547201515
25850	64405	ZNF345	CDH22	31	230	0.000230869547201515
26002	3984	MOXD1	LIMK1	31	230	0.000230869547201515
28990	9329	ASTE1	GTF3C4	31	230	0.000230869547201515
50507	653	NOX4	BMP5	31	230	0.000230869547201515
50507	1041	NOX4	CDSN	31	230	0.000230869547201515
50507	3594	NOX4	IL12RB1	31	230	0.000230869547201515
50507	4163	NOX4	MCC	31	230	0.000230869547201515
50507	51285	NOX4	RASL12	31	230	0.000230869547201515
53832	563	IL20RA	AZGP1	31	230	0.000230869547201515
54558	563	SPATA6	AZGP1	31	230	0.000230869547201515
56159	57863	TEX11	CADM3	31	230	0.000230869547201515
79651	55757	RHBDF2	UGGT2	31	230	0.000230869547201515
147339	1101	C18orf25	CHAD	31	230	0.000230869547201515
1054	4802	CEBPG	NFYC	31	227	0.000231042117841173
2664	5104	GDI1	SERPINA5	31	227	0.000231042117841173
2810	55596	SFN	ZCCHC8	31	227	0.000231042117841173
3682	5104	ITGAE	SERPINA5	31	227	0.000231042117841173
3717	7053	JAK2	TGM3	31	227	0.000231042117841173
4734	563	NEDD4	AZGP1	31	227	0.000231042117841173
5229	563	PGGT1B	AZGP1	31	227	0.000231042117841173
5991	563	RFX3	AZGP1	31	227	0.000231042117841173
6854	563	SYN2	AZGP1	31	227	0.000231042117841173
7410	563	VAV2	AZGP1	31	227	0.000231042117841173
7477	190	WNT7B	NR0B1	31	227	0.000231042117841173
7570	79145	ZNF22	CHCHD7	31	227	0.000231042117841173
7694	3891	ZNF135	KRT85	31	227	0.000231042117841173
9231	5104	DLG5	SERPINA5	31	227	0.000231042117841173
9883	563	POM121	AZGP1	31	227	0.000231042117841173
50507	6755	NOX4	SSTR5	31	227	0.000231042117841173
50944	563	SHANK1	AZGP1	31	227	0.000231042117841173
51278	6919	IER5	TCEA2	31	227	0.000231042117841173
55974	5104	SLC50A1	SERPINA5	31	227	0.000231042117841173
79902	11102	NUP85	RPP14	31	227	0.000231042117841173
286	1464	ANK1	CSPG4	31	231	0.000240310538726235
570	10660	BAAT	LBX1	31	231	0.000240310538726235
1609	563	DGKQ	AZGP1	31	231	0.000240310538726235
2646	563	GCKR	AZGP1	31	231	0.000240310538726235
3604	1142	TNFRSF9	CHRNB3	31	231	0.000240310538726235
4092	23149	SMAD7	FCHO1	31	231	0.000240310538726235
4892	563	NRAP	AZGP1	31	231	0.000240310538726235
5031	79369	P2RY6	B3GNT4	31	231	0.000240310538726235
5362	8993	PLXNA2	PGLYRP1	31	231	0.000240310538726235
5362	9883	PLXNA2	POM121	31	231	0.000240310538726235
5646	25830	PRSS3	SULT4A1	31	231	0.000240310538726235
5783	27112	PTPN13	NALF2	31	231	0.000240310538726235
6285	1142	S100B	CHRNB3	31	231	0.000240310538726235
6512	563	SLC1A7	AZGP1	31	231	0.000240310538726235
8031	9296	NCOA4	ATP6V1F	31	231	0.000240310538726235
8242	23710	KDM5C	GABARAPL1	31	231	0.000240310538726235
8290	563	H3-4	AZGP1	31	231	0.000240310538726235
8754	5104	ADAM9	SERPINA5	31	231	0.000240310538726235
8776	23175	MTMR1	LPIN1	31	231	0.000240310538726235
8789	563	FBP2	AZGP1	31	231	0.000240310538726235
9770	8555	RASSF2	CDC14B	31	231	0.000240310538726235
10255	22924	HCG9	MAPRE3	31	231	0.000240310538726235
10312	51295	TCIRG1	ECSIT	31	231	0.000240310538726235
10818	80036	FRS2	TRPM3	31	231	0.000240310538726235
10841	1002	FTCD	CDH4	31	231	0.000240310538726235
25825	5868	BACE2	RAB5A	31	231	0.000240310538726235
28966	22809	SNX24	ATF5	31	231	0.000240310538726235
50507	55613	NOX4	MTMR8	31	231	0.000240310538726235
51105	7518	PHF20L1	XRCC4	31	231	0.000240310538726235
51317	29066	PHF21A	ZC3H7A	31	231	0.000240310538726235
55287	79849	TMEM40	PDZD3	31	231	0.000240310538726235
55911	2709	APOBR	GJB5	31	231	0.000240310538726235
56474	2948	CTPS2	GSTM4	31	231	0.000240310538726235
56649	64897	TMPRSS4	C12orf43	31	231	0.000240310538726235
56937	3954	PMEPA1	LETM1	31	231	0.000240310538726235
57862	9896	ZNF410	FIG4	31	231	0.000240310538726235
79019	23710	CENPM	GABARAPL1	31	231	0.000240310538726235
219333	563	USP12	AZGP1	31	231	0.000240310538726235
404281	563	YY2	AZGP1	31	231	0.000240310538726235
445	10169	ASS1	SERF2	31	234	0.000423585480907881
1136	6656	CHRNA3	SOX1	31	234	0.000423585480907881
1212	55135	CLTB	WRAP53	31	234	0.000423585480907881
1719	10450	DHFR	PPIE	31	234	0.000423585480907881
2530	54585	FUT8	LZTFL1	31	234	0.000423585480907881
2764	5104	GMFB	SERPINA5	31	234	0.000423585480907881
2972	563	BRF1	AZGP1	31	234	0.000423585480907881
3291	5463	HSD11B2	POU6F1	31	234	0.000423585480907881
3396	309	MRPL58	ANXA6	31	234	0.000423585480907881
3700	563	ITIH4	AZGP1	31	234	0.000423585480907881
3996	563	LLGL1	AZGP1	31	234	0.000423585480907881
4092	2938	SMAD7	GSTA1	31	234	0.000423585480907881
4973	563	OLR1	AZGP1	31	234	0.000423585480907881
5106	399665	PCK2	FAM102A	31	234	0.000423585480907881
5362	55628	PLXNA2	ZNF407	31	234	0.000423585480907881
5366	8932	PMAIP1	MBD2	31	234	0.000423585480907881
5366	11021	PMAIP1	RAB35	31	234	0.000423585480907881
5506	5068	PPP1R3A	REG3A	31	234	0.000423585480907881
5791	781	PTPRE	CACNA2D1	31	234	0.000423585480907881
6543	563	SLC8A2	AZGP1	31	234	0.000423585480907881
6788	23710	STK3	GABARAPL1	31	234	0.000423585480907881
7321	55005	UBE2D1	RMND1	31	234	0.000423585480907881
7694	79057	ZNF135	PRRG3	31	234	0.000423585480907881
7738	79621	ZNF184	RNASEH2B	31	234	0.000423585480907881
9283	563	GPR37L1	AZGP1	31	234	0.000423585480907881
9879	10617	DDX46	STAMBP	31	234	0.000423585480907881
10239	5534	AP3S2	PPP3R1	31	234	0.000423585480907881
10452	81545	TOMM40	FBXO38	31	234	0.000423585480907881
10523	7786	CHERP	MAP3K12	31	234	0.000423585480907881
10614	55757	HEXIM1	UGGT2	31	234	0.000423585480907881
11001	944	SLC27A2	TNFSF8	31	234	0.000423585480907881
11007	5575	CCDC85B	PRKAR1B	31	234	0.000423585480907881
23313	23710	KIAA0930	GABARAPL1	31	234	0.000423585480907881
23595	10101	ORC3	NUBP2	31	234	0.000423585480907881
25759	563	SHC2	AZGP1	31	234	0.000423585480907881
25907	9900	TMEM158	SV2A	31	234	0.000423585480907881
29901	58473	SAC3D1	PLEKHB1	31	234	0.000423585480907881
50507	64800	NOX4	EFCAB6	31	234	0.000423585480907881
50507	81025	NOX4	GJA9	31	234	0.000423585480907881
51360	563	MBTPS2	AZGP1	31	234	0.000423585480907881
55656	1366	INTS8	CLDN7	31	234	0.000423585480907881
56649	27034	TMPRSS4	ACAD8	31	234	0.000423585480907881
56937	26052	PMEPA1	DNM3	31	234	0.000423585480907881
56937	55794	PMEPA1	DDX28	31	234	0.000423585480907881
56979	3768	PRDM9	KCNJ12	31	234	0.000423585480907881
57715	56260	SEMA4G	C8orf44	31	234	0.000423585480907881
60487	642	TRMT11	BLMH	31	234	0.000423585480907881
64174	53919	DPEP2	SLCO1C1	31	234	0.000423585480907881
79187	563	FSD1	AZGP1	31	234	0.000423585480907881
80020	2185	FOXRED2	PTK2B	31	234	0.000423585480907881
80895	51295	ILKAP	ECSIT	31	234	0.000423585480907881
80975	563	TMPRSS5	AZGP1	31	234	0.000423585480907881
81932	10243	HDHD3	GPHN	31	234	0.000423585480907881
85236	4780	H2BC12	NFE2L2	31	234	0.000423585480907881
90956	2618	ADCK2	GART	31	234	0.000423585480907881
112399	312	EGLN3	ANXA13	31	234	0.000423585480907881
182	259173	JAG1	ALS2CL	31	233	0.000423900097349293
383	4115	ARG1	MAGEB4	31	233	0.000423900097349293
673	80852	BRAF	GRIP2	31	233	0.000423900097349293
861	1837	RUNX1	DTNA	31	233	0.000423900097349293
1183	563	CLCN4	AZGP1	31	233	0.000423900097349293
1489	3768	CTF1	KCNJ12	31	233	0.000423900097349293
1846	563	DUSP4	AZGP1	31	233	0.000423900097349293
3006	7866	H1-2	IFRD2	31	233	0.000423900097349293
3263	563	HPX	AZGP1	31	233	0.000423900097349293
3543	8330	IGLL1	H2AC15	31	233	0.000423900097349293
3579	196403	CXCR2	DTX3	31	233	0.000423900097349293
3586	2709	IL10	GJB5	31	233	0.000423900097349293
4037	4233	LRP3	MET	31	233	0.000423900097349293
4835	78991	NQO2	PCYOX1L	31	233	0.000423900097349293
5001	55286	ORC5	C4orf19	31	233	0.000423900097349293
5208	563	PFKFB2	AZGP1	31	233	0.000423900097349293
5366	79885	PMAIP1	HDAC11	31	233	0.000423900097349293
5774	2948	PTPN3	GSTM4	31	233	0.000423900097349293
6274	54967	S100A3	CT55	31	233	0.000423900097349293
7694	60529	ZNF135	ALX4	31	233	0.000423900097349293
7957	563	EPM2A	AZGP1	31	233	0.000423900097349293
8233	7343	ZRSR2	UBTF	31	233	0.000423900097349293
8749	534	ADAM18	ATP6V1G2	31	233	0.000423900097349293
8822	6007	FGF17	RHD	31	233	0.000423900097349293
9400	563	RECQL5	AZGP1	31	233	0.000423900097349293
9770	6441	RASSF2	SFTPD	31	233	0.000423900097349293
10548	5104	TM9SF1	SERPINA5	31	233	0.000423900097349293
10667	642	FARS2	BLMH	31	233	0.000423900097349293
10905	2688	MAN1A2	GH1	31	233	0.000423900097349293
23017	3763	FAIM2	KCNJ6	31	233	0.000423900097349293
23034	563	SAMD4A	AZGP1	31	233	0.000423900097349293
50507	2264	NOX4	FGFR4	31	233	0.000423900097349293
55687	25789	TRMU	TMEM59L	31	233	0.000423900097349293
56649	57171	TMPRSS4	DOLPP1	31	233	0.000423900097349293
65124	79823	SOWAHC	CAMKMT	31	233	0.000423900097349293
80176	1497	SPSB1	CTNS	31	233	0.000423900097349293
81848	55702	SPRY4	YJU2	31	233	0.000423900097349293
85294	1464	KRTAP2-4	CSPG4	31	233	0.000423900097349293
256051	1464	ZNF549	CSPG4	31	233	0.000423900097349293
373863	563	DND1	AZGP1	31	233	0.000423900097349293
440073	338645	IQSEC3	LUZP2	31	233	0.000423900097349293
134	563	ADORA1	AZGP1	31	235	0.000431892744336152
916	22854	CD3E	NTNG1	31	235	0.000431892744336152
923	563	CD6	AZGP1	31	235	0.000431892744336152
1040	11272	CDS1	PRR4	31	235	0.000431892744336152
1445	7024	CSK	TFCP2	31	235	0.000431892744336152
1960	563	EGR3	AZGP1	31	235	0.000431892744336152
1960	9508	EGR3	ADAMTS3	31	235	0.000431892744336152
2257	563	FGF12	AZGP1	31	235	0.000431892744336152
2810	2804	SFN	GOLGB1	31	235	0.000431892744336152
3006	11140	H1-2	CDC37	31	235	0.000431892744336152
3026	2741	HABP2	GLRA1	31	235	0.000431892744336152
3364	51087	HUS1	YBX2	31	235	0.000431892744336152
3589	563	IL11	AZGP1	31	235	0.000431892744336152
3726	10979	JUNB	FERMT2	31	235	0.000431892744336152
4016	2239	LOXL1	GPC4	31	235	0.000431892744336152
4037	192683	LRP3	SCAMP5	31	235	0.000431892744336152
4092	22822	SMAD7	PHLDA1	31	235	0.000431892744336152
5105	4957	PCK1	ODF2	31	235	0.000431892744336152
5319	563	PLA2G1B	AZGP1	31	235	0.000431892744336152
5366	3633	PMAIP1	INPP5B	31	235	0.000431892744336152
5366	10893	PMAIP1	MMP24	31	235	0.000431892744336152
5603	55010	MAPK13	PARPBP	31	235	0.000431892744336152
7127	6398	TNFAIP2	SECTM1	31	235	0.000431892744336152
7694	9028	ZNF135	RHBDL1	31	235	0.000431892744336152
7694	11255	ZNF135	HRH3	31	235	0.000431892744336152
7739	5104	ZNF185	SERPINA5	31	235	0.000431892744336152
7915	64172	ALDH5A1	OSGEPL1	31	235	0.000431892744336152
8650	79006	NUMB	METRN	31	235	0.000431892744336152
9144	221154	SYNGR2	MICU2	31	235	0.000431892744336152
9514	3768	GAL3ST1	KCNJ12	31	235	0.000431892744336152
9601	9801	PDIA4	MRPL19	31	235	0.000431892744336152
9651	563	PLCH2	AZGP1	31	235	0.000431892744336152
9780	3954	PIEZO1	LETM1	31	235	0.000431892744336152
9780	64405	PIEZO1	CDH22	31	235	0.000431892744336152
9844	51299	ELMO1	NRN1	31	235	0.000431892744336152
9956	563	HS3ST2	AZGP1	31	235	0.000431892744336152
9984	56259	THOC1	CTNNBL1	31	235	0.000431892744336152
10075	23710	HUWE1	GABARAPL1	31	235	0.000431892744336152
10512	80755	SEMA3C	AARSD1	31	235	0.000431892744336152
10682	10295	EBP	BCKDK	31	235	0.000431892744336152
10695	55857	CNPY3	KIZ	31	235	0.000431892744336152
10928	25875	RALBP1	LETMD1	31	235	0.000431892744336152
11144	59336	DMC1	PRDM13	31	235	0.000431892744336152
11238	563	CA5B	AZGP1	31	235	0.000431892744336152
11329	29902	STK38	FAM216A	31	235	0.000431892744336152
23452	54885	ANGPTL2	TBC1D8B	31	235	0.000431892744336152
26038	4632	CHD5	MYL1	31	235	0.000431892744336152
28232	23247	SLCO3A1	KATNIP	31	235	0.000431892744336152
50507	6037	NOX4	RNASE3	31	235	0.000431892744336152
